Instance_Name,Dimension,Groups,Depots,Hybrid_Time,Hybrid_Dist,Gurobi_Time,Gurobi_Dist,Baseline_Time,Baseline_Dist
u574_GVRP_Spatial,574,143,6,5100.61,4164.50,,,5650.34,4228.86
rat575_GVRP_Spatial,575,100,6,4684.71,626.39,,,3411.23,632.38
p654_GVRP_Spatial,654,101,6,7200.15,7381.38,,,7200.11,7212.44
d657_GVRP_Spatial,657,137,6,7200.56,6046.84,,,7200.40,6183.00
gr666_GVRP_Spatial,666,116,6,7200.04,505.72,,,7200.40,508.44
u724_GVRP_Spatial,724,141,6,7200.43,3851.80,,,7200.47,3995.55
rat783_GVRP_Spatial,783,144,6,11.61,909.43,,,4744.35,762.94
dsj1000_GVRP_Spatial,1000,194,8,7200.06,1768943.59,,,162.99,2175267.05
pr1002_GVRP_Spatial,1002,167,8,7200.04,18408.94,,,7200.32,19162.21
u1060_GVRP_Spatial,1060,192,8,7200.80,19300.31,,,7200.19,19903.00
vm1084_GVRP_Spatial,1084,250,8,7200.29,22902.22,,,7200.12,23153.16
pcb1173_GVRP_Spatial,1173,224,8,7200.77,4129.95,,,7200.10,4218.30
d1291_GVRP_Spatial,1291,217,8,7200.91,5356.68,,,7200.92,5867.16
rl1304_GVRP_Spatial,1304,243,8,7200.20,23588.63,,,7200.28,24223.70
rl1323_GVRP_Spatial,1323,248,8,7201.42,25509.03,,,7200.53,25627.77
nrw1379_GVRP_Spatial,1379,274,8,7200.52,3979.17,,,7200.05,4089.52
fl1400_GVRP_Spatial,1400,169,8,7201.18,3003.53,,,7200.23,3021.92
u1432_GVRP_Spatial,1432,254,8,7200.18,8372.40,,,7200.04,8839.22
fl1577_GVRP_Spatial,1577,288,8,7202.82,3122.90,,,7200.65,3116.81
d1655_GVRP_Spatial,1655,294,8,7200.38,5721.89,,,7200.92,5656.34
vm1748_GVRP_Spatial,1748,368,8,7200.63,29650.24,,,7201.12,29770.55
u1817_GVRP_Spatial,1817,319,8,7204.20,3772.93,,,7202.14,3826.33
rl1889_GVRP_Spatial,1889,385,8,7202.56,28955.24,,,7202.61,29132.65
d2103_GVRP_Spatial,2103,362,8,7204.86,6823.59,,,7201.33,6848.13
u2152_GVRP_Spatial,2152,371,8,7200.61,3948.03,,,7202.20,4001.54
u2319_GVRP_Spatial,2319,441,8,7201.54,10194.93,,,7201.07,10739.65
pr2392_GVRP_Spatial,2392,410,8,7200.89,24528.73,,,7200.10,24677.62
pcb3038_GVRP_Spatial,3038,563,8,7200.29,8112.06,,,7201.47,8180.07
fl3795_GVRP_Spatial,3795,679,8,7211.44,3848.49,,,7207.10,3856.37
fnl4461_GVRP_Spatial,4461,874,8,7203.44,11176.13,,,7200.39,11474.97
